GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 0.13400    0.22919      0.58568       53.48421      0.22098      -0.00566       0.31935      -0.64632   
 0.13500    0.22981      0.64002       55.19372      0.22132      -0.00632       0.37013      -0.66785   
 0.13600    0.23048      0.69607       56.92559      0.22172      -0.00699       0.42265      -0.68966   
 0.13700    0.23120      0.75387       58.67962      0.22217      -0.00769       0.47694      -0.71177   
 0.13800    0.23198      0.81344       60.45564      0.22267      -0.00842       0.53302      -0.73415   
 0.13900    0.23283      0.87479       62.25345      0.22323      -0.00916       0.59092      -0.75682   
 0.14000    0.23373      0.93795       64.07283      0.22385      -0.00993       0.65066      -0.77977   
 0.14100    0.23470      1.00295       65.91358      0.22454      -0.01072       0.71227      -0.80300   
 0.14200    0.23574      1.06979       67.77546      0.22528      -0.01154       0.77576      -0.82650   
 0.14300    0.23684      1.13850       69.65824      0.22609      -0.01238       0.84116      -0.85028   
 0.14400    0.23802      1.20911       71.56166      0.22696      -0.01324       0.90849      -0.87432   
 0.14500    0.23926      1.28163       73.48547      0.22791      -0.01412       0.97778      -0.89863   
 0.14600    0.24058      1.35609       75.42937      0.22892      -0.01504       1.04904      -0.92320   
 0.14700    0.24198      1.43250       77.39310      0.23000      -0.01597       1.12230      -0.94803   
 0.14800    0.24345      1.51088       79.37634      0.23116      -0.01693       1.19758      -0.97312   
 0.14900    0.24500      1.59126       81.37880      0.23240      -0.01792       1.27490      -0.99846   
 0.15000    0.24663      1.67365       83.40013      0.23371      -0.01893       1.35428      -1.02405   
 0.15100    0.24835      1.75806       85.44001      0.23511      -0.01997       1.43575      -1.04988   
 0.15200    0.25015      1.84453       87.49808      0.23659      -0.02103       1.51932      -1.07596   
 0.15300    0.25204      1.93307       89.57398      0.23815      -0.02212       1.60501      -1.10227   
 0.15400    0.25401      2.02369       91.66733      0.23980      -0.02323       1.69284      -1.12881   
 0.15500    0.25608      2.11641       93.77773      0.24153      -0.02438       1.78284      -1.15558   
 0.15600    0.25825      2.21125       95.90477      0.24336      -0.02554       1.87502      -1.18258   
 0.15700    0.26051      2.30822       98.04802      0.24529      -0.02674       1.96940      -1.20979   
 0.15800    0.26287      2.40735      100.20706      0.24730      -0.02796       2.06599      -1.23721   
 0.15900    0.26532      2.50864      102.38142      0.24942      -0.02922       2.16483      -1.26484   
 0.16000    0.26788      2.61212      104.57062      0.25163      -0.03049       2.26592      -1.29268   
 0.16100    0.27055      2.71779      106.77419      0.25395      -0.03180       2.36928      -1.32071   
 0.16200    0.27332      2.82567      108.99161      0.25637      -0.03314       2.47493      -1.34893   
 0.16300    0.27620      2.93577      111.22236      0.25890      -0.03450       2.58289      -1.37733   
 0.16400    0.27919      3.04812      113.46590      0.26154      -0.03589       2.69316      -1.40591   
 0.16500    0.28230      3.16271      115.72167      0.26429      -0.03731       2.80578      -1.43466   
 0.16600    0.28552      3.27957      117.98910      0.26715      -0.03876       2.92074      -1.46358   
